Timestamp,What kind of e-learning tool you are using while taking online classes? Name it.,Your age,Gender ,Field of education ,EA1,EA2,EA3,PEOU1,PEOU2,PEOU3,PEOU5,PU1,PU2,PU3,PU4,PU5,US1,US2,US3,US4,US5,US6,US7,QU1,QU2,QU3,QU4,QU5,SA,AU,ITU,STA1,STA2,STA3,PI ,SAC1,PI 1,,SAC1,,rowsd,,Do you think Tool used in E-learning puts highly effect on E-learning acceptability?,Any other suggestion to make E-learning experience better?
2021/01/10 11:14:00 PM GMT+5,Zoom,23-27,Female,Medical,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,4,4,5,5,5,5,1,1,5,,4,,0.257880715,The quality of video and sound ,Yes,No
2021/01/10 11:45:56 PM GMT+5,Blackboard ,23-27,Male,IT/CS,5,5,2,4,4,4,4,5,4,5,4,5,4,4,4,3,4,,4,4,4,4,4,4,4,4,4,4,4,4,1,1,4,,4,,0.593478516,By making it more reliable,Can't say,It's standard can be further improved 
2021/01/11 11:47:39 AM GMT+5,Zoom ,18-20,Male,IT/CS,1,5,1,4,3,3,3,2,2,2,1,3,4,4,4,4,4,4,3,3,2,2,3,2,2,2,2,4,4,4,1,0,4,,2,,1.093870067,online education is not a good way to study because our teachers can not give a time like a lecture during physical class it is only a time pass or bad impact on our studies.,No,"sory, iam not agree with any kind of online education."
2021/01/11 11:47:45 AM GMT+5,Zoom ,18-20,Male,IT/CS,1,5,1,4,3,3,3,2,2,2,1,3,4,4,4,4,4,4,3,3,2,2,3,2,2,2,2,4,4,4,1,0,4,,2,,1.093870067,online education is not a good way to study because our teachers can not give a time like a lecture during physical class it is only a time pass or bad impact on our studies.,No,"sory, iam not agree with any kind of online education."
2021/01/11 11:47:53 AM GMT+5,Zoom ,18-20,Male,IT/CS,1,5,1,4,3,3,3,2,2,2,1,3,4,4,4,4,4,4,3,3,2,2,3,2,2,2,2,4,4,4,1,0,4,,2,,1.093870067,online education is not a good way to study because our teachers can not give a time like a lecture during physical class it is only a time pass or bad impact on our studies.,No,"sory, iam not agree with any kind of online education."
2021/01/11 11:49:37 AM GMT+5,Google meet/zoom,18-20,Male,Business Administration,1,3,3,4,3,4,4,3,1,2,2,1,4,2,3,2,4,4,4,4,2,2,4,2,2,2,1,3,2,2,0,0,2,,2,,1.061337261,E-learning is best tool but i'll prefered to the f2f study ,nope,nope
2021/01/11 11:52:52 AM GMT+5,Zoom app,21-23,Male,Engineering,2,1,2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,1,2,1,2,1,2,1,1,2,1,2,1,2,0,0,2,,1,,0.507416263,No,Yes,No
2021/01/11 12:01:14 PM GMT+5,Zome,21-23,Male,Engineering,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,1,1,4,,4,,0.379049022,It could be batter by corporation between Teacher and students,4,Instead teaching thousand pages we should be focused on skills not Ratta
2021/01/11 12:04:34 PM GMT+5,Teams 365,21-23,Female,Physics ,2,3,5,4,3,5,5,3,3,4,2,2,2,3,2,5,5,3,5,4,4,5,5,4,3,4,1,2,3,1,0,0,2,,3,,1.275768869,By arranging more discussion sessions btw students and teachers.,Tools used in E-learning was quite good but I prefer face to face learning over E-learning ,"There should be a complete check and balance on teachers , whether they are doing their work with full honesty or not.. BCZ some teachers just do reading from slides and that's it.. if just reading from slides was enough then we could've done that on our own.. That's why I'm not satisfied with online methodology of teachers.."
2021/01/11 12:04:51 PM GMT+5,Laptop,18-20,Male,IT/CS,5,5,5,4,4,4,2,4,4,4,5,5,5,2,4,1,5,4,5,4,4,4,5,4,4,4,5,5,5,3,1,1,4,,4,,1.008013866,Yah it is bettee,E learning is best,No
